Year,State,Category,Type,Vehicles
2023,Alabama,Auto,Private,1920522
2023,Alabama,Auto,Public,1139
2023,Alabama,Bus,Private,3223
2023,Alabama,Bus,Public,106
2023,Alabama,Truck,Private,3390299
2023,Alabama,Truck,Public,6838
2023,Alabama,Motorcycle,Private,124492
2023,Alabama,Motorcycle,Public,0
2023,Alaska,Auto,Private,127003
2023,Alaska,Auto,Public,2246
2023,Alaska,Bus,Private,7960
2023,Alaska,Bus,Public,566
2023,Alaska,Truck,Private,506715
2023,Alaska,Truck,Public,10810
2023,Alaska,Motorcycle,Private,25663
2023,Alaska,Motorcycle,Public,11
2023,Arizona,Auto,Private,2239177
2023,Arizona,Auto,Public,32862
2023,Arizona,Bus,Private,5128
2023,Arizona,Bus,Public,17153
2023,Arizona,Truck,Private,3804561
2023,Arizona,Truck,Public,63557
2023,Arizona,Motorcycle,Private,283249
2023,Arizona,Motorcycle,Public,1375
2023,Arkansas,Auto,Private,917140
2023,Arkansas,Auto,Public,18008
2023,Arkansas,Bus,Private,9842
2023,Arkansas,Bus,Public,837
2023,Arkansas,Truck,Private,2245587
2023,Arkansas,Truck,Public,46337
2023,Arkansas,Motorcycle,Private,100571
2023,Arkansas,Motorcycle,Public,0
2023,California,Auto,Private,13189308
2023,California,Auto,Public,238753
2023,California,Bus,Private,28435
2023,California,Bus,Public,67305
2023,California,Truck,Private,16418996
2023,California,Truck,Public,338882
2023,California,Motorcycle,Private,762314
2023,California,Motorcycle,Public,13336
2023,Colorado,Auto,Private,1386543
2023,Colorado,Auto,Public,15026
2023,Colorado,Bus,Private,5010
2023,Colorado,Bus,Public,7726
2023,Colorado,Truck,Private,3575528
2023,Colorado,Truck,Public,43801
2023,Colorado,Motorcycle,Private,177946
2023,Colorado,Motorcycle,Public,0
2023,Connecticut,Auto,Private,1088125
2023,Connecticut,Auto,Public,465
2023,Connecticut,Bus,Private,9848
2023,Connecticut,Bus,Public,28
2023,Connecticut,Truck,Private,1648253
2023,Connecticut,Truck,Public,4470
2023,Connecticut,Motorcycle,Private,85922
2023,Connecticut,Motorcycle,Public,0
2023,Delaware,Auto,Private,152899
2023,Delaware,Auto,Public,1776
2023,Delaware,Bus,Private,1978
2023,Delaware,Bus,Public,1478
2023,Delaware,Truck,Private,258405
2023,Delaware,Truck,Public,4186
2023,Delaware,Motorcycle,Private,24447
