GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "00000","United States", ,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",12924876.0,13543774.0,14096033.0,14230726.0,14472712.0,14877312.0,15449757.0,15987957.0,16433148.0,16762445.0,16781485.0,16349110.0,16789750.0,17052410.0,17442759.0,17812167.0,18261714.0,18799622.0,19141672.0,19612102.0,20193896.0,20715671.0,20267585.0,21494798.0,22034828.0,22671096.0,23305023.0
 "00000","United States", ,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),13932319.4,13560629.2,13862567.5,14331132.5,14709774.5,14682820.3,15216230.2,15896447.7,16162029.4,16658962.0,17163074.0,17727562.0,18731605.3,19641720.3,19013960.0,19404131.7,(NA)
 "00000","United States", ,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),11270735.8,11123596.9,11335603.3,11528483.8,11686117.9,11889925.2,12226445.7,12638789.0,12949012.2,13290625.5,13654925.4,13948133.0,13594721.8,14787232.3,15236191.5,15621697.3,(NA)
 "00000","United States", ,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",9062817.0,9631172.0,10250952.0,10581929.0,10929108.0,11456450.0,12217196.0,13039197.0,13815583.0,14474228.0,14769862.0,14478067.0,15048971.0,15599732.0,16253970.0,16880683.0,17608138.0,18295019.0,18804913.0,19612102.0,20656516.0,21539982.0,21354105.0,23681171.0,26006893.0,27720709.0,29184890.0
 "00000","United States", ,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",7584003.0,7978449.0,8620234.0,8990104.0,9146700.0,9474684.0,10008929.0,10540800.0,11291446.0,11925044.0,12423410.0,12058253.0,12547501.0,13299818.0,13905749.0,14063283.0,14778160.0,15467113.0,15884741.0,16658962.0,17514402.0,18349584.0,19600945.0,21403979.0,22077232.0,23380269.0,24632679.6
 "00000","United States", ,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",6552573.0,6867565.0,7384984.0,7752177.0,8095517.0,8472238.0,8961305.0,9329615.0,9935978.0,10434213.0,10917599.0,10907346.0,11311497.0,11848163.0,12398279.0,12387353.0,12994137.0,13527926.0,13927450.0,14611591.0,15442207.0,16153039.0,17357747.0,18701135.0,18835380.0,20527196.0,21602789.6
 "00000","United States", ,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",5877248.2,6283757.5,6767179.3,7073801.0,7348940.8,7740749.4,8231960.2,8769066.1,9277235.6,9746593.5,10050083.4,9891218.5,10260256.2,10698857.0,11047363.2,11388233.3,11874450.4,12297437.8,12726848.8,13290625.5,13934441.7,14437543.0,14225657.2,16113945.5,17690840.5,18822768.8,(NA)
 "00000","United States", ,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),45816,44204,44808,45957,46796,46358,47661,49396,49828,51006,52242,53683,56501,59153,57052,57937,(NA)
 "00000","United States", ,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),37063,36260,36640,36969,37177,37540,38296,39273,39923,40693,41564,42238,41006,44533,45717,46644,(NA)
 "00000","United States", ,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",27493,28592,30551,31548,31801,32659,34183,35669,37843,39588,40854,39307,40557,42650,44238,44402,46289,48062,48974,51006,53311,55567,59114,64450,66096,69418,72425
 "00000","United States", ,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",23754,24611,26173,27204,28146,29204,30605,31571,33300,34639,35902,35555,36562,37994,39442,39111,40701,42036,42939,44737,47004,48915,52349,56312,56390,60947,63517
 "00000","United States", ,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",21306,22519,23983,24823,25550,26682,28114,29674,31092,32356,33049,32243,33164,34309,35145,35956,37194,38213,39238,40693,42415,43720,42910,48529,53082,56202,(NA)
 "00000","United States", ,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,(NA)
 "00000","United States", ,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "00000","United States", ,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",158481200,161531300,165370800,165522200,165095100,165921500,168839700,172338400,175868600,179543700,179213900,173636700,172901700,176091700,178979700,182328100,186239800,190325800,193425900,196394100,200292200,201622200,195262600,202706100,210414200,216314200,(NA)
 "01000","Alabama",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",160396.4,166531.8,168695.3,168448.3,172430.4,178040.0,189913.7,197246.5,199923.9,202025.5,200967.4,194192.1,199455.0,201372.8,203675.5,206962.9,206070.0,208950.3,212862.8,216615.5,220808.8,225272.8,222288.8,233726.6,238556.5,245354.7,252664.5
 "01000","Alabama",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),199308.2,199810.9,199934.3,201384.9,201397.8,201172.1,205291.8,215147.9,214859.9,220235.9,231109.9,235847.2,252516.5,266191.4,256889.2,255620.7,(NA)
 "01000","Alabama",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),164093.5,164430.3,163000.8,163835.5,163555.0,166493.3,169501.8,175050.6,177257.9,181495.6,190026.5,193730.0,191907.5,207240.1,211069.8,209835.3,(NA)
 "01000","Alabama",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",110838.8,116514.3,120522.6,123534.5,128380.9,135212.6,148379.1,158677.3,166048.2,172247.0,174665.6,170876.5,177510.7,182896.7,188280.7,193981.5,197064.4,203113.3,208824.3,216615.5,226263.8,234798.2,235325.3,260018.4,284949.1,304935.6,321237.6
 "01000","Alabama",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",99772.9,103204.1,108002.9,111894.1,115007.7,120241.0,128606.3,136087.5,144719.0,151942.6,157780.3,155666.9,162068.8,167882.2,172101.5,173720.7,179487.1,187474.7,190871.8,197963.8,205674.2,215151.8,230732.2,254960.4,262235.6,276925.6,292359.5
 "01000","Alabama",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",88548.4,91473.6,95839.8,99375.0,103906.5,109568.8,117627.3,123206.1,130008.0,136204.2,141827.1,143231.0,148862.1,152835.4,157273.8,157600.0,162978.1,169520.5,172173.6,179134.7,187334.2,195198.8,210477.7,230848.0,232294.4,250036.2,263858.4
 "01000","Alabama",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",80320.5,84866.0,89748.7,93232.7,97220.1,102106.6,108428.7,115631.1,121487.4,126916.4,130009.5,128265.5,132314.4,136772.4,139950.6,143956.7,148385.6,152790.5,157806.1,163523.4,169460.2,177059.6,175833.9,198895.8,215682.5,227475.0,(NA)
 "01000","Alabama",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),42242,41995,41757,41846,41612,41349,42001,43826,43568,44464,46435,47134,50183,52707,50630,50039,(NA)
 "01000","Alabama",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),34779,34559,34043,34043,33793,34221,34679,35658,35943,36643,38180,38717,38138,41035,41599,41076,(NA)
